id,jour,ordre histoires,ordre conditions,histoire,type,condition,reponse donnee,reponse attendue,evaluation,orthographe,transcription,reponse phonetique,distance,mot le plus proche,transcription,distance
4,3,s 0231,c 0132,1,vehicule,2,Mattendich,Mattendich,True,soltete,z_o_l_t_e_t_@,m_a_t_@_n_d_i_C,7.0,Soltete,z_o_l_t_e_t_@,0.0
4,3,s 0231,c 0132,2,maison,1,Madikten,Madikten,True,,,m_a_d_i_k_t_@,10,,,10
4,3,s 0231,c 0132,1,personnage,2,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10,,,10
4,3,s 0231,c 0132,3,vehicule,3,-1,Melare,False,,,m_e_l_a_r_@,10,,,10
4,3,s 0231,c 0132,2,personnage,1,Soltete,Soltete,True,,,z_o_l_t_e_t_@,10,,,10
4,3,s 0231,c 0132,2,vehicule,1,Wecktellin,Wecktellin,True,,,v_@_k_t_e_l_i_n,10,,,10
4,3,s 0231,c 0132,3,personnage,3,Lasgelich,Lasgelich,True,terrain,t_e_r_aI_n,l_a_s_g_e_l_i_C,7.714285714285715,Tereinat,t_e_r_aI_n_a_t,2.0
7,2,s 1320,c 1023,0,vehicule,3,Mattendich,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
7,2,s 1320,c 1023,0,maison,3,Zulergen,Keimase,False,,,k_aI_m_a_s_@,10,,,10
7,2,s 1320,c 1023,1,maison,1,Sonistik,Ligete,False,,,l_i_g_e_t_@,10,,,10
7,2,s 1320,c 1023,0,personnage,3,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10,,,10
7,2,s 1320,c 1023,3,maison,0,Keimase,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
7,2,s 1320,c 1023,1,vehicule,1,Soltete,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
7,2,s 1320,c 1023,2,maison,2,Wecktellin,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
7,2,s 1320,c 1023,1,personnage,1,Madikten,Tereinat,False,,,t_e_r_aI_n_a_t,10,,,10
7,2,s 1320,c 1023,3,vehicule,0,Soltete,Melare,False,,,m_e_l_a_r_@,10,,,10
7,2,s 1320,c 1023,2,personnage,2,Zulergen,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
7,2,s 1320,c 1023,2,vehicule,2,Lasgelich,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
7,2,s 1320,c 1023,3,personnage,0,Mattendich,Lasgelich,False,Malvese,m_a_l_v_e_z_e,l_a_s_g_e_l_i_C,5.857142857142858,Mielbete,m_i_l_b_e_t_@,3.0
9,2,s 3210,c 2031,0,vehicule,1,Wecktellin,Sonistik,False,M,m,z_o_n_i_s_t_i_k,7.714285714285714,Keimase,k_aI_m_a_s_@,5.0
9,2,s 3210,c 2031,0,maison,1,Keimase,Keimase,True,Kassaram,k_a_s_a_r_a_m,k_aI_m_a_s_@,5.0,Keimase,k_aI_m_a_s_@,5.0
9,2,s 3210,c 2031,1,maison,3,Lasgelich,Ligete,False,,,l_i_g_e_t_@,10,,,10
9,2,s 3210,c 2031,0,personnage,1,Mielbete,Mielbete,True,Soltete,z_o_l_t_e_t_@,m_i_l_b_e_t_@,3.7142857142857144,Soltete,z_o_l_t_e_t_@,0.0
9,2,s 3210,c 2031,3,maison,2,Ligete,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
9,2,s 3210,c 2031,1,vehicule,3,Sonistik,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
9,2,s 3210,c 2031,2,maison,0,Madikten,Madikten,True,,,m_a_d_i_k_t_@,10,,,10
9,2,s 3210,c 2031,1,personnage,3,Tereinat,Tereinat,True,Tereinte,t_e_r_aI_n_t_e,t_e_r_aI_n_a_t,2.0,Tereinat,t_e_r_aI_n_a_t,2.0
9,2,s 3210,c 2031,3,vehicule,2,Zulergen,Melare,False,,,m_e_l_a_r_@,10,,,10
9,2,s 3210,c 2031,2,personnage,0,Soltete,Soltete,True,,,z_o_l_t_e_t_@,10,,,10
9,2,s 3210,c 2031,2,vehicule,0,Melare,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
9,2,s 3210,c 2031,3,personnage,2,Mattendich,Lasgelich,False,Lasgelich,l_a_s_g_e_l_i_C,l_a_s_g_e_l_i_C,0.0,Lasgelich,l_a_s_g_e_l_i_C,0.0
