id,jour,ordre conditions,ordre histoires,condition,histoire,PM oral,nbSyll,debit moyen,variance debit,identification,dénomination,nb0,nb1,freq moy pédalage/baseline,variance pédalage/baseline,freq moy pédalage,variance pédalage,nbSyllAudio,nbPauses,SpeechRate,ArticulationRate,SpeakingDuration,originalDuration
2,2,c 2130,s 3012,3,1,,162,2.721551786854884,2.9957752654381427,0,1.1857142857142855,1,0,-31.51676697706536,-5.687382280118037,0.6088513393085452,0.027147372807745748,159,21,2.6814624932541826,4.217954159592528,0.635725849973017,37.69600000000001
3,2,c 0312,s 0321,0,0,,300,2.6920060084104134,2.5084220169134546,0,0.0,3,0,,,,,327,48,2.931368330464716,4.127953948697233,0.7101262191623636,79.216
3,2,c 0312,s 0321,2,1,,231,2.354664269027184,2.209987245577901,0,0.0,3,0,-10.619709295600988,-26.45491717772529,0.8804215607867198,0.046387035835233285,332,39,3.3833360508723294,4.577542466357818,0.7391162563182784,72.52800000000003
3,2,c 0312,s 0321,3,3,,247,2.4653655682521936,2.087134251617133,0,0.0,3,0,,,,,274,48,2.7356230031948883,4.133478155925659,0.6618210862619807,66.28799999999998
3,1,c 0312,s 0321,1,2,,234,2.2946208247718567,2.5479833831999907,0,1.7142857142857142,1,1,,,,,289,49,2.75974025974026,4.453279092702171,0.6197097020626431,64.89599999999999
3,1,c 0312,s 0321,2,1,,201,2.4043548629912683,2.8712441387085788,0,0.0,3,0,-22.32362640834755,-47.47431644438363,0.7611299351131903,0.03976108108751519,235,38,2.8115428790199086,4.208452722063036,0.6680704441041351,55.84000000000001
3,2,c 0312,s 0321,1,2,,271,2.8377436451161504,2.415080535547973,0,0.0,3,0,,,,,296,38,3.0941629034955684,4.358068315665487,0.709984947315605,67.92000000000003
3,1,c 0312,s 0321,3,3,,259,2.5603396521820616,2.886843736042693,0,0.0,3,0,-10.032114971433082,-27.37692227315296,0.6408154428680849,0.046197892774303924,315,47,2.8864716364716365,4.3165667332889175,0.6686961686961689,72.04800000000002
3,1,c 0312,s 0321,0,0,,353,2.5714780831913546,2.79363720528798,0,0.9285714285714286,2,0,,,,,440,74,2.659060143105782,4.46718648473034,0.595242699671244,98.4960000000001
4,2,c 0132,s 0231,3,3,,497,2.670517081206029,2.59506946623863,0,0.1,2,0,-13.957847230788234,112.55203839581011,0.8106844760126025,0.0640358589385815,508,83,2.7164613278576315,3.9841887313339193,0.681810403832991,127.50399999999999
4,2,c 0132,s 0231,1,2,,506,2.8785670103854124,3.027695314615571,0,2.3,0,1,,,,,541,71,3.071071752951862,4.287118042348172,0.7163487738419613,126.19199999999988
4,1,c 0132,s 0231,1,2,,322,2.9042656741332795,3.089949065359266,0,2.642857142857143,0,1,,,,,368,44,3.3174671859224003,4.578936890304599,0.7245059858647052,80.36800000000001
4,1,c 0132,s 0231,0,0,,388,3.0722019634647713,3.0539124008010083,0,2.7,0,2,,,,,428,53,3.387791286727456,4.62962962962963,0.7317629179331305,92.448
4,1,c 0132,s 0231,3,3,,362,2.6575413008407147,2.8233991380596284,0,0.8428571428571427,1,0,-33.63303167711089,-9.109517029380843,0.6245280094481556,0.028000373154809893,388,51,2.8412419449326305,4.207147814018042,0.675336848271822,92.22400000000002
4,1,c 0132,s 0231,2,1,,435,2.8970640205975915,2.6394061182868023,0,2.8285714285714283,0,2,0.7086786762884101,43.97362494334052,0.9075221976887579,0.037300298711638626,458,56,3.046184952644461,4.153366221706322,0.7334255613493675,110.27200000000012
4,2,c 0132,s 0231,0,0,,357,2.67061678034231,2.512281010465141,0,0.17142857142857135,2,0,,,,,393,48,3.0288763339610796,4.115489593995222,0.7359698681732583,93.79200000000003
