id,jour,ordre histoires,ordre conditions,histoire,condition,type,reponse donnee,reponse attendue,evaluation,orthographe,transcription,reponse phonetique,distance,mot le plus proche,transcription,distance
10,2,c 1230,s 1203,2,2,personnage,Soltete,Soltete,True,,,z_o_l_t_e_t_@,10,,,10
10,2,c 1230,s 1203,2,2,vehicule,Wecktellin,Wecktellin,True,vectelin,,v_@_k_t_e_l_i_n,10,,,10
10,2,c 1230,s 1203,0,3,personnage,Zulergen,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
6,3,c 2103,s 3021,1,0,vehicule,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10,,,10
6,3,c 2103,s 3021,1,0,maison,Madikten,Keimase,False,,,k_aI_m_a_s_@,10,,,10
6,3,c 2103,s 3021,3,1,maison,Lasgelich,Ligete,False,,,l_i_g_e_t_@,10,,,10
6,3,c 2103,s 3021,1,0,personnage,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10,,,10
6,3,c 2103,s 3021,2,3,maison,Zulergen,Zulergen,True,lyserge,,ts_u_l_@_r_g_@,10,,,10
6,3,c 2103,s 3021,3,1,vehicule,Mattendich,Mattendich,True,,,m_a_t_@_n_d_i_C,10,,,10
6,3,c 2103,s 3021,0,2,maison,Ligete,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
6,3,c 2103,s 3021,3,1,personnage,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10,,,10
6,3,c 2103,s 3021,2,3,vehicule,Keimase,Melare,False,,,m_e_l_a_r_@,10,,,10
6,3,c 2103,s 3021,0,2,personnage,Zulergen,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
6,3,c 2103,s 3021,0,2,vehicule,Wecktellin,Wecktellin,True,wektellin ,,v_@_k_t_e_l_i_n,10,,,10
6,3,c 2103,s 3021,2,3,personnage,Tereinat,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
11,2,c 2301,s 3120,1,0,vehicule,Melare,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
11,2,c 2301,s 3120,1,0,maison,Zulergen,Keimase,False,,,k_aI_m_a_s_@,10,,,10
11,2,c 2301,s 3120,3,1,maison,Wecktellin,Ligete,False,,,l_i_g_e_t_@,10,,,10
11,2,c 2301,s 3120,1,0,personnage,Keimase,Mielbete,False,Lytgelich,,m_i_l_b_e_t_@,10,,,10
11,2,c 2301,s 3120,2,3,maison,Lasgelich,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
11,2,c 2301,s 3120,3,1,vehicule,Ligete,Mattendich,False,V,,m_a_t_@_n_d_i_C,10,,,10
11,2,c 2301,s 3120,0,2,maison,Mattendich,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
11,2,c 2301,s 3120,3,1,personnage,Soltete,Tereinat,False,Soltete,,t_e_r_aI_n_a_t,10,,,10
11,2,c 2301,s 3120,2,3,vehicule,Madikten,Melare,False,,,m_e_l_a_r_@,10,,,10
11,2,c 2301,s 3120,0,2,personnage,Tereinat,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
11,2,c 2301,s 3120,0,2,vehicule,Sonistik,Wecktellin,False,Kaimane,,v_@_k_t_e_l_i_n,10,,,10
11,2,c 2301,s 3120,2,3,personnage,Mielbete,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
12,2,c 1032,s 2130,2,0,vehicule,Mattendich,Sonistik,False,megase,,z_o_n_i_s_t_i_k,10,,,10
12,2,c 1032,s 2130,2,0,maison,Keimase,Keimase,True,Kaimase,,k_aI_m_a_s_@,10,,,10
12,2,c 1032,s 2130,0,1,maison,Sonistik,Ligete,False,,,l_i_g_e_t_@,10,,,10
12,2,c 1032,s 2130,2,0,personnage,Mielbete,Mielbete,True,Milbete,,m_i_l_b_e_t_@,10,,,10
12,2,c 1032,s 2130,3,3,maison,Zulergen,Zulergen,True,Zugete,,ts_u_l_@_r_g_@,10,,,10
12,2,c 1032,s 2130,0,1,vehicule,Ligete,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
12,2,c 1032,s 2130,1,2,maison,Madikten,Madikten,True,Tugete,,m_a_d_i_k_t_@,10,,,10
12,2,c 1032,s 2130,0,1,personnage,Tereinat,Tereinat,True,Teiraneit,,t_e_r_aI_n_a_t,10,,,10
12,2,c 1032,s 2130,3,3,vehicule,Melare,Melare,True,,,m_e_l_a_r_@,10,,,10
12,2,c 1032,s 2130,1,2,personnage,Soltete,Soltete,True,Soltete,,z_o_l_t_e_t_@,10,,,10
12,2,c 1032,s 2130,1,2,vehicule,Wecktellin,Wecktellin,True,Velocit,,v_@_k_t_e_l_i_n,10,,,10
12,2,c 1032,s 2130,3,3,personnage,Lasgelich,Lasgelich,True,Filagrete,,l_a_s_g_e_l_i_C,10,,,10
9,3,c 2031,s 3210,1,0,vehicule,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10,,,10
9,3,c 2031,s 3210,1,0,maison,Keimase,Keimase,True,Kaimasse,,k_aI_m_a_s_@,10,,,10
9,3,c 2031,s 3210,3,1,maison,Zulergen,Ligete,False,,,l_i_g_e_t_@,10,,,10
9,3,c 2031,s 3210,1,0,personnage,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10,,,10
9,3,c 2031,s 3210,2,3,maison,Madikten,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
9,3,c 2031,s 3210,3,1,vehicule,Mattendich,Mattendich,True,,,m_a_t_@_n_d_i_C,10,,,10
9,3,c 2031,s 3210,0,2,maison,Ligete,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
9,3,c 2031,s 3210,3,1,personnage,Tereinat,Tereinat,True,Tereinat,,t_e_r_aI_n_a_t,10,,,10
9,3,c 2031,s 3210,2,3,vehicule,Melare,Melare,True,,,m_e_l_a_r_@,10,,,10
9,3,c 2031,s 3210,0,2,personnage,Soltete,Soltete,True,Soltete,,z_o_l_t_e_t_@,10,,,10
9,3,c 2031,s 3210,0,2,vehicule,Wecktellin,Wecktellin,True,,,v_@_k_t_e_l_i_n,10,,,10
9,3,c 2031,s 3210,2,3,personnage,Lasgelich,Lasgelich,True,Lasgelich,,l_a_s_g_e_l_i_C,10,,,10
